operation,variant,bytes,iterations,samples,median_ns,mad_ns,min_ns,max_ns,median_cycles,cycles_per_byte,shard_gb_s,logical_traffic_gb_s,freq_before_mhz,freq_after_mhz,checksum
copy,scalar,64,262144,9,1.802,0.002,1.744,1.812,7.751,0.121,35.508,71.017,5563.367,5563.367,0
xor,scalar,64,174763,9,2.094,0.001,2.093,2.102,9.004,0.141,30.568,91.703,5498.859,5498.859,108
mul,scalar,64,262144,9,12.186,0.006,12.172,12.223,52.401,0.819,5.252,10.504,5504.305,5504.305,184
radix4,scalar,64,65536,9,69.278,0.371,68.907,70.623,297.894,4.655,0.924,7.391,5463.780,5463.780,118
radix8,scalar,64,32768,9,172.148,0.173,171.855,172.726,740.228,11.566,0.372,5.948,5509.735,5510.087,88
codec,scalar,64,14564,9,339.068,0.285,335.794,341.062,1457.982,22.781,0.189,6.795,5546.833,5547.187,194
copy,avx2,64,262144,9,1.477,0.015,1.456,1.512,6.350,0.099,43.344,86.687,5551.189,5537.289,119
xor,avx2,64,174763,9,1.663,0.003,1.657,1.771,7.151,0.112,38.487,115.461,5434.792,5422.700,27
mul,avx2,64,262144,9,2.500,0.041,2.442,2.550,10.750,0.168,25.600,51.201,5454.030,5454.030,207
radix4,avx2,64,65536,9,7.407,0.019,7.290,7.426,31.851,0.498,8.641,69.125,5481.726,5481.726,1
radix8,avx2,64,32768,9,14.269,0.232,13.765,14.797,61.357,0.959,4.485,71.766,5497.807,5481.347,54
codec,avx2,64,14564,9,37.598,1.446,35.369,40.345,161.678,2.526,1.702,61.280,5407.432,5407.432,245
copy,avx512bw,64,262144,9,1.503,0.002,1.495,1.507,6.463,0.101,42.588,85.175,5340.410,5332.190,64
xor,avx512bw,64,174763,9,1.691,0.001,1.690,1.699,7.273,0.114,37.841,113.523,5322.984,5322.984,44
mul,avx512bw,64,262144,9,2.095,0.012,2.083,2.162,9.010,0.141,30.546,61.092,5333.360,5335.653,248
radix4,avx512bw,64,65536,9,6.634,0.011,6.607,6.650,28.529,0.446,9.647,77.175,5355.022,5355.022,54
radix8,avx512bw,64,32768,9,11.566,0.041,11.506,11.665,49.737,0.777,5.533,88.535,5378.465,5381.409,1
codec,avx512bw,64,14564,9,20.263,0.061,20.140,20.478,87.140,1.362,3.159,113.707,5380.489,5376.746,206
copy,avx512vbmi,64,262144,9,1.501,0.001,1.500,1.509,6.455,0.101,42.634,85.268,5331.983,5331.983,123
xor,avx512vbmi,64,174763,9,1.690,0.001,1.689,1.719,7.266,0.114,37.880,113.639,5327.740,5327.740,23
mul,avx512vbmi,64,262144,9,2.270,0.021,2.246,2.317,9.761,0.153,28.193,56.387,5340.628,5340.628,195
radix4,avx512vbmi,64,65536,9,12.588,0.050,12.538,12.660,54.130,0.846,5.084,40.673,5365.158,5366.311,13
radix8,avx512vbmi,64,32768,9,18.670,0.031,18.617,18.776,80.284,1.254,3.428,54.847,5383.136,5383.136,58
codec,avx512vbmi,64,14564,9,31.364,0.152,31.208,31.843,134.872,2.107,2.041,73.460,5379.251,5365.363,142
copy,scalar,256,65536,9,4.509,0.019,4.482,4.546,19.389,0.076,56.780,113.561,5310.234,5310.234,59
xor,scalar,256,43691,9,4.581,0.030,4.530,4.671,19.702,0.077,55.882,167.645,5350.360,5350.360,164
mul,scalar,256,65536,9,70.264,0.393,69.805,71.325,302.134,1.180,3.643,7.287,5419.793,5438.834,39
radix4,scalar,256,16384,9,278.965,1.891,276.201,282.922,1199.541,4.686,0.918,7.341,5456.699,5456.699,206
radix8,scalar,256,8192,9,690.814,0.846,688.656,696.358,2970.475,11.603,0.371,5.929,5509.809,5509.809,159
codec,scalar,256,3641,9,1168.896,1.134,1164.735,1186.974,5026.229,19.634,0.219,7.884,5539.811,5539.899,227
copy,avx2,256,65536,9,2.650,0.012,2.627,2.699,11.397,0.045,96.602,193.205,5540.681,5540.681,181
xor,avx2,256,43691,9,3.282,0.037,3.131,3.318,14.115,0.055,78.008,234.023,5532.711,5532.711,42
mul,avx2,256,65536,9,6.190,0.020,6.153,6.228,26.617,0.104,41.358,82.716,5494.080,5494.080,169
radix4,avx2,256,16384,9,21.183,0.525,20.627,22.002,91.094,0.356,12.085,96.683,5530.356,5530.356,64
radix8,avx2,256,8192,9,52.437,0.602,51.389,54.008,225.493,0.881,4.882,78.112,5486.159,5486.159,168
codec,avx2,256,3641,9,142.441,5.675,133.869,151.691,612.523,2.393,1.797,64.701,5437.296,5426.899,52
copy,avx512bw,256,65536,9,2.069,0.007,2.062,2.117,8.896,0.035,123.760,247.521,5390.855,5368.499,98
xor,avx512bw,256,43691,9,2.582,0.003,2.571,2.601,11.107,0.043,99.138,297.413,5360.507,5360.507,253
mul,avx512bw,256,65536,9,3.407,0.043,3.364,3.555,14.653,0.057,75.132,150.264,5355.692,5355.692,126
radix4,avx512bw,256,16384,9,15.458,0.041,15.366,15.548,66.476,0.260,16.561,132.488,5348.790,5353.120,151
radix8,avx512bw,256,8192,9,24.081,0.015,23.942,24.220,103.568,0.405,10.631,170.091,5355.265,5356.033,127
codec,avx512bw,256,3641,9,69.636,0.113,69.386,69.883,299.477,1.170,3.676,132.346,5340.390,5315.920,94
copy,avx512vbmi,256,65536,9,2.083,0.000,2.081,2.101,8.958,0.035,122.908,245.816,5307.829,5307.829,8
xor,avx512vbmi,256,43691,9,2.557,0.006,2.546,2.591,10.997,0.043,100.123,300.370,5308.851,5315.740,151
mul,avx512vbmi,256,65536,9,4.379,0.025,4.310,4.407,18.833,0.074,58.456,116.913,5315.740,5315.740,20
radix4,avx512vbmi,256,16384,9,19.761,0.032,19.698,19.861,84.982,0.332,12.955,103.638,5269.698,5269.698,253
radix8,avx512vbmi,256,8192,9,45.504,0.056,45.426,45.661,195.678,0.764,5.626,90.015,5257.657,5257.657,21
codec,avx512vbmi,256,3641,9,118.118,0.137,117.980,118.868,507.946,1.984,2.167,78.024,5258.453,5258.453,70
copy,scalar,1024,16384,9,13.670,0.038,13.567,13.839,58.786,0.057,74.911,149.821,5268.533,5268.533,16
xor,scalar,1024,10923,9,13.515,0.001,13.513,13.643,58.125,0.057,75.769,227.307,5317.128,5317.128,56
mul,scalar,1024,16384,9,214.437,1.182,212.860,217.034,922.078,0.900,4.775,9.551,5364.625,5377.876,35
radix4,scalar,1024,4096,9,1107.111,3.767,1099.730,1116.696,4760.539,4.649,0.925,7.399,5415.973,5416.836,193
radix8,scalar,1024,2048,9,2742.192,5.796,2732.989,2766.134,11791.343,11.515,0.373,5.975,5507.224,5510.093,32
codec,scalar,1024,911,9,5239.143,13.820,5221.536,5263.314,22528.130,22.000,0.195,7.036,5542.636,5542.636,119
copy,avx2,1024,16384,9,7.975,0.027,7.889,8.113,34.302,0.033,128.403,256.805,5541.128,5541.128,142
xor,avx2,1024,10923,9,10.289,0.025,10.095,10.446,44.256,0.043,99.528,298.584,5539.214,5539.214,166
mul,avx2,1024,16384,9,23.475,0.022,23.448,23.649,100.949,0.099,43.621,87.241,5538.477,5538.477,189
radix4,avx2,1024,4096,9,88.051,0.330,86.752,88.390,378.644,0.370,11.630,93.037,5541.840,5541.840,95
radix8,avx2,1024,2048,9,204.817,2.212,202.605,216.444,880.744,0.860,5.000,79.993,5524.797,5499.929,156
codec,avx2,1024,911,9,629.263,16.014,584.870,659.516,2705.932,2.643,1.627,58.583,5443.123,5443.123,246
copy,avx512bw,1024,16384,9,4.825,0.026,4.759,4.862,20.752,0.020,212.233,424.466,5403.168,5403.168,15
xor,avx512bw,1024,10923,9,6.052,0.019,6.016,6.401,26.033,0.025,169.213,507.639,5386.541,5386.541,39
mul,avx512bw,1024,16384,9,9.408,0.073,9.306,9.579,40.459,0.040,108.843,217.685,5375.966,5375.966,60
radix4,avx512bw,1024,4096,9,43.812,0.142,43.426,44.281,188.419,0.184,23.373,186.982,5361.598,5361.598,222
radix8,avx512bw,1024,2048,9,93.419,0.362,92.814,94.567,401.760,0.392,10.961,175.381,5326.641,5326.641,29
codec,avx512bw,1024,911,9,295.087,0.274,294.483,297.941,1269.043,1.239,3.470,124.926,5295.993,5295.993,1
copy,avx512vbmi,1024,16384,9,4.462,0.023,4.420,4.620,19.193,0.019,229.507,459.015,5272.542,5272.542,248
xor,avx512vbmi,1024,10923,9,6.092,0.048,6.008,6.296,26.202,0.026,168.094,504.282,5272.542,5272.542,208
mul,avx512vbmi,1024,16384,9,12.848,0.009,12.807,12.996,55.254,0.054,79.701,159.401,5281.665,5281.665,203
radix4,avx512vbmi,1024,4096,9,61.929,0.107,61.190,66.795,266.335,0.260,16.535,132.280,5234.942,5234.942,41
radix8,avx512vbmi,1024,2048,9,180.105,0.264,179.686,182.527,774.504,0.756,5.686,90.969,5216.891,5215.936,234
codec,avx512vbmi,1024,911,9,474.035,1.866,471.225,477.756,2038.512,1.991,2.160,77.766,5216.564,5216.564,180
copy,scalar,4096,4096,9,71.349,0.366,70.790,72.081,306.837,0.075,57.408,114.816,5231.351,5246.362,77
xor,scalar,4096,2731,9,57.244,0.059,57.156,58.027,246.175,0.060,71.554,214.662,5272.339,5284.034,144
mul,scalar,4096,4096,9,787.069,9.351,777.719,803.893,3384.381,0.826,5.204,10.408,5310.980,5319.626,23
radix4,scalar,4096,1024,9,4472.359,14.658,4404.507,4530.524,19230.994,4.695,0.916,7.327,5378.279,5380.900,166
radix8,scalar,4096,512,9,11090.102,102.168,10942.854,11624.719,47687.084,11.642,0.369,5.909,5466.201,5484.029,14
codec,scalar,4096,228,9,19607.386,21.272,19577.868,19689.057,84311.118,20.584,0.209,7.520,5522.415,5526.842,107
copy,avx2,4096,4096,9,23.543,0.029,23.433,24.148,101.264,0.025,173.982,347.963,5533.805,5533.805,12
xor,avx2,4096,2731,9,34.435,0.092,33.823,34.702,148.115,0.036,118.950,356.850,5532.631,5532.631,209
mul,avx2,4096,4096,9,93.200,0.161,92.777,93.693,400.794,0.098,43.949,87.897,5526.143,5526.143,86
radix4,avx2,4096,1024,9,305.552,7.119,298.433,320.717,1313.936,0.321,13.405,107.242,5535.839,5535.839,231
radix8,avx2,4096,512,9,773.293,6.623,758.447,791.887,3325.445,0.812,5.297,84.749,5462.088,5457.184,148
