operation,variant,bytes,iterations,samples,median_ns,mad_ns,min_ns,max_ns,median_cycles,cycles_per_byte,shard_gb_s,logical_traffic_gb_s,freq_before_mhz,freq_after_mhz,checksum
codec,avx2,4096,228,9,2432.842,49.785,2259.855,2482.627,10461.447,2.554,1.684,60.611,5422.904,5421.961,130
copy,avx512bw,4096,4096,9,16.602,0.042,16.538,17.090,71.418,0.017,246.720,493.440,5401.653,5382.282,229
xor,avx512bw,4096,2731,9,20.528,0.011,20.487,20.542,88.315,0.022,199.536,598.607,5382.282,5382.282,56
mul,avx512bw,4096,4096,9,35.171,0.181,34.510,35.794,151.277,0.037,116.458,232.917,5369.598,5369.598,191
radix4,avx512bw,4096,1024,9,172.474,0.507,170.823,174.807,741.792,0.181,23.749,189.988,5364.440,5348.213,14
radix8,avx512bw,4096,512,9,368.854,1.582,366.881,382.428,1586.297,0.387,11.105,177.675,5330.229,5330.229,125
codec,avx512bw,4096,228,9,1136.114,3.075,1120.500,1143.614,4885.781,1.193,3.605,129.790,5303.979,5303.979,215
copy,avx512vbmi,4096,4096,9,15.061,0.051,14.947,15.652,64.794,0.016,271.956,543.911,5287.052,5287.052,176
xor,avx512vbmi,4096,2731,9,20.894,0.022,20.868,22.066,89.889,0.022,196.039,588.117,5287.052,5287.052,109
mul,avx512vbmi,4096,4096,9,46.685,0.337,45.606,47.161,200.775,0.049,87.737,175.474,5277.431,5278.121,234
radix4,avx512vbmi,4096,1024,9,264.818,0.820,263.178,267.094,1138.870,0.278,15.467,123.738,5259.919,5226.567,91
radix8,avx512vbmi,4096,512,9,724.463,2.146,721.379,732.529,3115.400,0.761,5.654,90.462,5216.662,5216.662,40
codec,avx512vbmi,4096,228,9,1877.614,5.395,1872.219,1893.623,8074.193,1.971,2.181,78.534,5221.745,5221.745,127
copy,scalar,16384,1024,9,218.665,0.849,217.073,220.766,940.415,0.057,74.927,149.855,5237.045,5237.045,24
xor,scalar,16384,683,9,238.700,0.498,237.618,241.512,1026.586,0.063,68.639,205.916,5271.575,5271.575,164
mul,scalar,16384,1024,9,3104.352,13.672,3082.603,3125.348,13348.687,0.815,5.278,10.556,5306.760,5321.763,192
radix4,scalar,16384,256,9,18502.102,43.320,18181.551,18587.102,79558.398,4.856,0.886,7.084,5370.254,5380.129,151
radix8,scalar,16384,128,9,45061.742,230.945,44830.797,45364.484,193763.711,11.826,0.364,5.817,5477.873,5484.354,208
codec,scalar,16384,57,9,78572.018,26.825,78421.474,78852.702,337857.789,20.621,0.209,7.507,5528.757,5532.487,146
copy,avx2,16384,1024,9,103.020,0.078,101.398,103.771,443.102,0.027,159.038,318.076,5534.409,5534.409,155
xor,avx2,16384,683,9,142.212,1.171,141.041,149.124,611.695,0.037,115.208,345.624,5526.753,5526.753,39
mul,avx2,16384,1024,9,378.813,1.406,377.192,380.895,1628.961,0.099,43.251,86.502,5525.137,5525.137,67
radix4,avx2,16384,256,9,1556.273,5.934,1537.523,1595.688,6692.715,0.408,10.528,84.222,5531.809,5531.809,20
radix8,avx2,16384,128,9,3740.602,79.688,3655.602,3917.164,16085.359,0.982,4.380,70.081,5504.052,5504.052,44
codec,avx2,16384,57,9,9957.860,302.281,9414.877,10518.579,42820.456,2.614,1.645,59.232,5447.467,5436.013,6
copy,avx512bw,16384,1024,9,71.769,0.039,71.700,74.142,308.769,0.019,228.289,456.579,5402.794,5386.251,15
xor,avx512bw,16384,683,9,92.842,0.600,91.816,93.559,399.466,0.024,176.472,529.416,5386.251,5386.251,179
mul,avx512bw,16384,1024,9,137.775,1.855,131.652,139.797,592.510,0.036,118.918,237.836,5369.643,5369.643,215
radix4,avx512bw,16384,256,9,840.871,8.633,822.316,891.730,3616.199,0.221,19.485,155.876,5351.612,5351.612,128
radix8,avx512bw,16384,128,9,1809.797,21.570,1763.852,1835.492,7783.336,0.475,9.053,144.847,5309.807,5309.807,184
codec,avx512bw,16384,57,9,4575.842,20.719,4526.561,4725.158,19678.158,1.201,3.581,128.900,5268.275,5268.275,207
copy,avx512vbmi,16384,1024,9,74.356,0.039,74.298,76.739,319.854,0.020,220.344,440.688,5235.961,5235.961,198
xor,avx512vbmi,16384,683,9,87.351,0.029,87.321,91.246,375.857,0.023,187.564,562.693,5235.961,5235.961,122
mul,avx512vbmi,16384,1024,9,182.591,0.117,182.317,184.612,785.296,0.048,89.731,179.461,5242.460,5242.460,30
radix4,avx512vbmi,16384,256,9,1170.133,2.695,1165.137,1187.871,5032.176,0.307,14.002,112.015,5230.567,5205.243,73
radix8,avx512vbmi,16384,128,9,2969.648,4.289,2941.766,2989.961,12770.328,0.779,5.517,88.274,5209.936,5209.936,113
codec,avx512vbmi,16384,57,9,7541.509,13.175,7520.105,7588.895,32431.053,1.979,2.173,78.210,5209.936,5211.191,22
copy,scalar,65536,256,9,805.441,0.977,800.598,813.527,3464.020,0.053,81.367,162.733,5221.881,5221.881,31
xor,scalar,65536,171,9,933.468,2.041,929.784,940.018,4014.842,0.061,70.207,210.621,5244.895,5244.895,168
mul,scalar,65536,256,9,12459.516,62.344,12342.832,12527.602,53575.816,0.818,5.260,10.520,5287.141,5295.942,55
radix4,scalar,65536,64,9,73737.766,254.062,72628.391,74140.125,317070.578,4.838,0.889,7.110,5352.314,5363.044,60
radix8,scalar,65536,32,9,180913.875,733.125,179566.312,182065.438,777922.406,11.870,0.362,5.796,5449.680,5457.615,46
codec,scalar,65536,15,9,314995.867,976.000,314017.200,317861.933,1354471.333,20.668,0.208,7.490,5524.296,5524.638,134
copy,avx2,65536,256,9,772.082,1.914,769.266,780.988,3320.574,0.051,84.882,169.764,5531.933,5531.933,130
xor,avx2,65536,171,9,1080.129,2.222,1071.538,1087.503,4645.760,0.071,60.674,182.023,5533.415,5538.331,53
mul,avx2,65536,256,9,1559.125,23.594,1496.348,1589.672,6704.641,0.102,42.034,84.068,5535.340,5535.340,170
radix4,avx2,65536,64,9,5502.422,185.312,5247.422,5858.828,23662.766,0.361,11.910,95.283,5495.692,5480.376,161
radix8,avx2,65536,32,9,12723.312,247.188,12211.750,13342.688,54713.469,0.835,5.151,82.414,5419.244,5419.244,215
codec,avx2,65536,15,9,33721.800,994.000,32697.133,36153.133,145010.333,2.213,1.943,69.964,5337.216,5322.527,155
copy,avx512bw,65536,256,9,545.828,1.797,527.469,547.625,2347.531,0.036,120.067,240.134,5276.836,5276.836,159
xor,avx512bw,65536,171,9,805.099,2.281,786.444,817.789,3462.380,0.053,81.401,244.203,5268.959,5268.959,40
mul,avx512bw,65536,256,9,729.465,2.973,705.871,752.160,3137.320,0.048,89.841,179.682,5267.530,5267.530,183
radix4,avx512bw,65536,64,9,3130.516,5.625,3123.328,3172.234,13463.031,0.205,20.935,167.477,5262.224,5262.224,188
radix8,avx512bw,65536,32,9,6803.219,5.281,6759.781,6876.969,29258.812,0.446,9.633,154.129,5255.150,5255.150,202
codec,avx512bw,65536,15,9,18088.267,27.333,18057.600,18280.267,77789.867,1.187,3.623,130.432,5233.559,5233.559,45
copy,avx512vbmi,65536,256,9,550.398,0.820,515.359,556.414,2367.352,0.036,119.070,238.140,5229.992,5229.992,41
xor,avx512vbmi,65536,171,9,805.977,6.140,786.854,812.468,3466.655,0.053,81.313,243.938,5229.294,5229.294,158
mul,avx512vbmi,65536,256,9,936.105,3.633,932.199,945.914,4025.875,0.061,70.009,140.018,5238.138,5238.138,1
radix4,avx512vbmi,65536,64,9,4628.359,7.969,4614.125,4668.188,19903.625,0.304,14.160,113.277,5217.205,5196.725,10
radix8,avx512vbmi,65536,32,9,11887.656,36.562,11816.094,12115.500,51121.625,0.780,5.513,88.207,5187.201,5187.201,124
codec,avx512vbmi,65536,15,9,30477.067,106.000,30277.133,30719.133,131058.267,2.000,2.150,77.412,5189.940,5191.106,124
copy,scalar,262144,64,9,3187.078,2.812,3165.203,3285.047,13706.250,0.052,82.252,164.504,5195.690,5199.745,120
xor,scalar,262144,43,9,3695.884,37.419,3657.023,4072.860,15896.000,0.061,70.929,212.786,5219.338,5219.338,45
mul,scalar,262144,64,9,49859.625,195.000,49469.922,50306.344,214394.641,0.818,5.258,10.515,5265.930,5275.676,55
radix4,scalar,262144,16,9,294701.750,1159.438,292619.250,301334.312,1267204.625,4.834,0.890,7.116,5338.206,5352.863,183
radix8,scalar,262144,8,9,726800.500,3300.000,721321.625,732604.250,3125213.125,11.922,0.361,5.771,5442.432,5458.729,64
codec,scalar,262144,4,9,1266298.000,4227.750,1260510.500,1361064.500,5445047.000,20.771,0.207,7.453,5521.342,5521.342,5
copy,avx2,262144,64,9,2933.484,4.375,2929.109,3017.703,12615.797,0.048,89.363,178.725,5518.389,5513.437,95
xor,avx2,262144,43,9,4249.349,24.395,4221.674,4345.651,18277.000,0.070,61.690,185.071,5522.579,5522.579,10
mul,avx2,262144,64,9,6025.859,51.078,5974.781,6182.422,25914.219,0.099,43.503,87.006,5512.209,5512.209,16
radix4,avx2,262144,16,9,21760.312,593.812,20822.812,22952.812,93576.062,0.357,12.047,96.375,5463.168,5463.168,144
radix8,avx2,262144,8,9,53198.250,1317.500,51802.000,55410.750,228765.375,0.873,4.928,78.843,5392.523,5392.523,150
codec,avx2,262144,4,9,138754.500,2545.000,134459.500,144544.500,596668.000,2.276,1.889,68.014,5323.889,5311.687,115
copy,avx512bw,262144,64,9,1795.812,33.281,1748.766,1887.203,7724.547,0.029,145.975,291.950,5261.572,5261.572,41
xor,avx512bw,262144,43,9,2871.907,6.977,2859.791,2952.837,12353.000,0.047,91.279,273.836,5245.699,5245.699,124
mul,avx512bw,262144,64,9,2713.938,4.375,2707.078,2742.688,11671.812,0.045,96.592,193.184,5237.242,5237.242,102
radix4,avx512bw,262144,16,9,12828.312,70.000,12742.062,13143.312,55169.000,0.210,20.435,163.478,5226.437,5226.437,230
radix8,avx512bw,262144,8,9,29955.500,72.500,29883.000,30982.875,128817.250,0.491,8.751,140.018,5210.520,5210.520,224
codec,avx512bw,262144,4,9,77138.750,62.500,77068.500,77531.250,331723.500,1.265,3.398,122.340,5203.031,5203.031,178
copy,avx512vbmi,262144,64,9,1635.031,5.781,1629.250,1743.625,7033.188,0.027,160.330,320.659,5197.930,5197.930,232
xor,avx512vbmi,262144,43,9,2908.186,7.907,2891.674,2964.930,12508.000,0.048,90.140,270.420,5196.230,5196.230,189
mul,avx512vbmi,262144,64,9,3379.422,42.031,3274.109,3504.438,14533.328,0.055,77.571,155.141,5193.574,5193.337,167
radix4,avx512vbmi,262144,16,9,19009.625,73.750,18935.875,19423.375,81748.375,0.312,13.790,110.321,5144.637,5144.637,39
radix8,avx512vbmi,262144,8,9,49974.500,45.000,49828.250,51317.000,214908.625,0.820,5.246,83.929,5133.680,5133.680,33
codec,avx512vbmi,262144,4,9,126424.500,497.750,125514.500,128441.750,543649.000,2.074,2.074,74.647,5145.285,5148.895,102
copy,scalar,1048576,16,9,15152.688,143.750,14999.625,15807.062,65166.500,0.062,69.201,138.401,5156.092,5156.092,60
xor,scalar,1048576,11,9,22584.000,45.455,22523.000,24289.455,97121.364,0.093,46.430,139.290,5169.261,5194.467,51
mul,scalar,1048576,16,9,201608.500,998.750,199911.625,203498.562,866914.938,0.827,5.201,10.402,5225.590,5234.220,192
radix4,scalar,1048576,4,9,1193859.500,2582.500,1179546.750,1198832.250,5133544.250,4.896,0.878,7.026,5308.691,5317.002,8
radix8,scalar,1048576,2,9,2939077.500,19695.500,2906177.000,2966797.500,12637958.000,12.052,0.357,5.708,5420.389,5425.307,82
codec,scalar,1048576,1,9,5035842.000,3800.000,5030722.000,5056513.000,21653983.000,20.651,0.208,7.496,5525.012,5525.252,165
copy,avx2,1048576,16,9,15306.500,75.688,15064.625,15457.750,65824.938,0.063,68.505,137.011,5525.962,5525.962,93
xor,avx2,1048576,11,9,23387.545,58.182,23174.818,23614.909,100580.909,0.096,44.835,134.504,5533.556,5533.556,82
mul,avx2,1048576,16,9,26284.125,703.750,25249.750,27782.250,113033.562,0.108,39.894,79.788,5506.770,5506.770,161
radix4,avx2,1048576,4,9,89049.000,1745.250,86773.750,93823.750,382936.500,0.365,11.775,94.202,5459.868,5442.662,105
radix8,avx2,1048576,2,9,215083.000,885.000,214198.000,223633.500,924930.000,0.882,4.875,78.003,5388.107,5364.844,111
codec,avx2,1048576,1,9,542207.000,4519.000,537688.000,566059.000,2331589.000,2.224,1.934,69.621,5295.392,5295.392,77
copy,avx512bw,1048576,16,9,13941.438,24.375,13819.562,14225.250,59955.438,0.057,75.213,150.426,5255.224,5255.224,181
xor,avx512bw,1048576,11,9,21738.455,83.545,21654.909,22030.364,93493.727,0.089,48.236,144.708,5262.893,5262.893,186
mul,avx512bw,1048576,16,9,14023.375,29.438,13975.812,15080.250,60307.500,0.058,74.773,149.547,5263.203,5263.203,73
radix4,avx512bw,1048576,4,9,53628.250,202.500,53403.250,54773.250,230641.250,0.220,19.553,156.421,5251.061,5251.061,129
radix8,avx512bw,1048576,2,9,128757.000,220.500,128266.500,130657.000,553711.000,0.528,8.144,130.301,5223.243,5216.545,135
codec,avx512bw,1048576,1,9,308285.000,4210.000,297484.000,312495.000,1325776.000,1.264,3.401,122.448,5203.836,5203.836,243
copy,avx512vbmi,1048576,16,9,14003.938,73.125,13039.562,14201.438,60224.188,0.057,74.877,149.754,5203.349,5203.349,11
xor,avx512vbmi,1048576,11,9,21889.364,65.364,21801.182,22146.727,94138.727,0.090,47.903,143.710,5210.418,5213.872,4
mul,avx512vbmi,1048576,16,9,16302.750,133.750,16002.125,16677.750,70111.500,0.067,64.319,128.638,5216.851,5216.851,247
radix4,avx512vbmi,1048576,4,9,79236.250,127.750,79081.250,82006.250,340753.500,0.325,13.234,105.868,5184.752,5164.843,63
radix8,avx512vbmi,1048576,2,9,206383.000,635.000,204948.000,207283.000,887498.500,0.846,5.081,81.292,5168.365,5168.365,57
codec,avx512vbmi,1048576,1,9,501607.000,2070.000,496047.000,504337.000,2157009.000,2.057,2.090,75.256,5179.460,5179.875,34
copy,scalar,4194304,4,9,66431.000,515.000,65776.000,71036.000,285692.000,0.068,63.138,126.276,5181.525,5181.525,218
xor,scalar,4194304,3,9,98714.667,230.000,98484.667,101708.000,424510.333,0.101,42.489,127.468,5225.224,5225.224,217
mul,scalar,4194304,4,9,803206.750,4537.750,796576.500,807969.000,3453781.500,0.823,5.222,10.444,5251.838,5265.288,152
radix4,scalar,4194304,1,9,4704028.000,30381.000,4666738.000,4811889.000,20227114.000,4.823,0.892,7.133,5346.241,5352.435,213
radix8,scalar,4194304,1,9,11579376.000,18040.000,11554885.000,11648948.000,49790775.000,11.871,0.362,5.796,5500.664,5500.664,198
codec,scalar,4194304,1,9,20067818.000,4670.000,20060579.000,20104128.000,86290508.000,20.573,0.209,7.524,5538.659,5538.719,132
copy,avx2,4194304,4,9,58560.750,155.000,58401.000,61546.000,251840.250,0.060,71.623,143.246,5537.536,5537.536,39
xor,avx2,4194304,3,9,89731.333,1353.333,86801.333,93394.667,385896.333,0.092,46.743,140.229,5539.101,5539.101,36
mul,avx2,4194304,4,9,110931.500,3037.250,107894.250,117046.750,477031.250,0.114,37.810,75.620,5535.068,5527.619,101
radix4,avx2,4194304,1,9,374655.000,5301.000,354645.000,379956.000,1611210.000,0.384,11.195,89.561,5470.054,5470.054,40
radix8,avx2,4194304,1,9,871453.000,12950.000,810632.000,887333.000,3747364.000,0.893,4.813,77.008,5349.781,5339.455,136
codec,avx2,4194304,1,9,2122601.000,440.000,2119371.000,2126290.000,9127180.000,2.176,1.976,71.137,5248.377,5248.377,239
copy,avx512bw,4194304,4,9,51590.750,47.500,51393.000,52085.750,221869.250,0.053,81.300,162.599,5242.518,5242.518,76
xor,avx512bw,4194304,3,9,77428.000,146.667,77281.333,79991.333,333020.667,0.079,54.170,162.511,5263.578,5263.578,79
mul,avx512bw,4194304,4,9,52280.750,175.000,51910.750,52603.250,224836.250,0.054,80.227,160.453,5260.516,5260.516,14
radix4,avx512bw,4194304,1,9,203843.000,370.000,203473.000,206043.000,876684.000,0.209,20.576,164.609,5242.539,5242.539,67
radix8,avx512bw,4194304,1,9,471337.000,1460.000,469166.000,477377.000,2026934.000,0.483,8.899,142.380,5212.181,5206.199,227
codec,avx512bw,4194304,1,9,1194507.000,1150.000,1192637.000,1200827.000,5136479.000,1.225,3.511,126.408,5198.981,5201.645,34
copy,avx512vbmi,4194304,4,9,51970.750,42.500,51898.250,52450.750,223503.250,0.053,80.705,161.410,5202.604,5202.604,129
xor,avx512vbmi,4194304,3,9,78087.667,63.000,77921.000,78631.333,335858.667,0.080,53.713,161.138,5213.713,5213.713,130
mul,avx512vbmi,4194304,4,9,64730.750,172.500,62688.500,65241.000,278382.000,0.066,64.796,129.592,5220.706,5217.838,195
radix4,avx512vbmi,4194304,1,9,308694.000,1139.000,307154.000,313515.000,1327496.000,0.316,13.587,108.698,5166.873,5166.873,142
radix8,avx512vbmi,4194304,1,9,795701.000,1609.000,793351.000,798842.000,3421553.000,0.816,5.271,84.339,5173.977,5173.977,46
codec,avx512vbmi,4194304,1,9,1971078.000,3581.000,1965528.000,1980179.000,8475644.000,2.021,2.128,76.605,5205.667,5208.311,239
copy,scalar,16777216,1,9,209913.000,1160.000,207343.000,241064.000,902785.000,0.054,79.925,159.849,5228.181,5228.181,76
xor,scalar,16777216,1,9,316814.000,1131.000,314965.000,317945.000,1362455.000,0.081,52.956,158.868,5259.227,5259.227,145
mul,scalar,16777216,1,9,3170156.000,15511.000,3152496.000,3201766.000,13631645.000,0.813,5.292,10.584,5304.107,5314.142,173
