operation,variant,bytes,iterations,samples,median_ns,mad_ns,min_ns,max_ns,median_cycles,cycles_per_byte,shard_gb_s,logical_traffic_gb_s,freq_before_mhz,freq_after_mhz,checksum
radix4,avx2,1024,4096,9,83.668,2.356,80.165,88.869,359.800,0.351,12.239,97.911,5542.510,5542.510,95
radix8,avx2,1024,2048,9,204.583,1.914,201.980,213.196,879.757,0.859,5.005,80.085,5493.704,5493.704,156
codec,avx2,1024,911,9,599.526,17.135,560.591,616.661,2578.112,2.518,1.708,61.489,5455.532,5454.505,246
copy,avx512bw,1024,16384,9,4.873,0.008,4.863,4.901,20.962,0.020,210.133,420.266,5425.678,5425.678,15
xor,avx512bw,1024,10923,9,8.151,0.001,8.147,8.155,35.064,0.034,125.631,376.892,5407.318,5407.318,39
mul,avx512bw,1024,16384,9,10.041,0.046,9.979,10.308,43.184,0.042,101.981,203.962,5399.419,5399.419,60
radix4,avx512bw,1024,4096,9,48.929,0.137,48.585,49.464,210.412,0.205,20.928,167.426,5381.186,5381.186,222
radix8,avx512bw,1024,2048,9,93.356,0.406,92.677,94.440,401.487,0.392,10.969,175.500,5357.257,5357.257,29
codec,avx512bw,1024,911,9,279.465,1.756,276.404,283.034,1201.829,1.174,3.664,131.909,5315.868,5315.868,1
copy,avx512vbmi,1024,16384,9,4.614,0.018,4.589,4.702,19.847,0.019,221.947,443.895,5299.344,5299.344,248
xor,avx512vbmi,1024,10923,9,8.333,0.001,8.327,8.336,35.847,0.035,122.885,368.656,5287.246,5287.246,208
mul,avx512vbmi,1024,16384,9,12.786,0.021,12.714,12.914,54.989,0.054,80.089,160.177,5287.246,5295.886,203
radix4,avx512vbmi,1024,4096,9,64.471,0.054,64.212,64.771,277.264,0.271,15.883,127.065,5265.481,5234.443,41
radix8,avx512vbmi,1024,2048,9,161.785,0.332,161.453,162.600,695.748,0.679,6.329,101.270,5228.939,5228.939,234
codec,avx512vbmi,1024,911,9,448.821,0.538,444.912,450.105,1930.044,1.885,2.282,82.135,5225.502,5225.502,180
copy,scalar,4096,4096,9,71.310,0.154,70.538,71.649,306.669,0.075,57.440,114.879,5237.187,5237.187,77
xor,scalar,4096,2731,9,71.869,0.029,71.832,72.550,309.093,0.075,56.993,170.979,5286.056,5286.056,144
mul,scalar,4096,4096,9,792.316,3.740,786.605,798.915,3406.942,0.832,5.170,10.339,5328.906,5344.879,23
radix4,scalar,4096,1024,9,4429.829,8.780,4403.696,4471.969,19048.160,4.650,0.925,7.397,5381.408,5391.402,166
radix8,scalar,4096,512,9,11025.373,50.938,10937.812,11132.369,47408.676,11.574,0.372,5.944,5479.846,5485.856,14
codec,scalar,4096,228,9,19463.175,17.500,19414.228,19514.009,83691.202,20.432,0.210,7.576,5539.089,5539.298,107
copy,avx2,4096,4096,9,26.111,0.024,26.084,26.597,112.308,0.027,156.868,313.736,5539.298,5538.493,12
xor,avx2,4096,2731,9,34.127,0.015,34.021,34.607,146.776,0.036,120.022,360.066,5538.493,5538.493,209
mul,avx2,4096,4096,9,92.780,0.136,92.602,93.280,398.989,0.097,44.148,88.295,5537.479,5540.730,86
radix4,avx2,4096,1024,9,329.701,1.288,319.985,337.573,1417.782,0.346,12.423,99.387,5543.014,5543.014,231
radix8,avx2,4096,512,9,802.199,20.195,774.406,838.586,3449.658,0.842,5.106,81.695,5500.440,5500.440,148
codec,avx2,4096,228,9,2278.149,73.724,2120.118,2351.873,9796.268,2.392,1.798,64.726,5449.146,5440.116,130
copy,avx512bw,4096,4096,9,16.228,0.010,16.201,16.450,69.812,0.017,252.399,504.798,5408.004,5408.004,229
xor,avx512bw,4096,2731,9,20.586,0.015,20.542,21.395,88.582,0.022,198.968,596.904,5394.542,5394.542,56
mul,avx512bw,4096,4096,9,35.323,0.278,34.556,36.136,151.917,0.037,115.959,231.918,5381.932,5381.932,191
radix4,avx512bw,4096,1024,9,184.650,0.487,182.434,185.423,794.114,0.194,22.182,177.460,5372.142,5372.142,14
radix8,avx512bw,4096,512,9,369.105,0.311,368.561,373.326,1587.389,0.388,11.097,177.554,5339.424,5339.424,125
codec,avx512bw,4096,228,9,1062.781,4.825,1049.667,1070.890,4570.447,1.116,3.854,138.745,5318.968,5318.968,215
copy,avx512vbmi,4096,4096,9,14.331,0.100,14.231,14.912,61.666,0.015,285.808,571.616,5309.156,5309.156,176
xor,avx512vbmi,4096,2731,9,20.865,0.007,20.846,20.890,89.779,0.022,196.314,588.942,5296.495,5296.495,109
mul,avx512vbmi,4096,4096,9,46.654,0.640,45.882,47.872,200.639,0.049,87.796,175.592,5287.195,5287.195,234
radix4,avx512vbmi,4096,1024,9,259.584,0.361,258.930,262.055,1116.362,0.273,15.779,126.233,5250.533,5250.533,91
radix8,avx512vbmi,4096,512,9,648.135,1.289,646.670,651.650,2787.273,0.680,6.320,101.115,5237.711,5237.711,40
codec,avx512vbmi,4096,228,9,1748.491,9.956,1730.241,1761.825,7518.965,1.836,2.343,84.333,5234.868,5234.868,127
copy,scalar,16384,1024,9,218.812,0.068,217.317,220.199,941.003,0.057,74.877,149.754,5240.254,5240.254,24
xor,scalar,16384,683,9,242.638,0.556,242.009,244.615,1043.584,0.064,67.524,202.573,5267.920,5267.920,164
mul,scalar,16384,1024,9,3110.387,11.641,3084.215,3135.035,13374.596,0.816,5.268,10.535,5324.322,5338.743,192
radix4,scalar,16384,256,9,18035.219,62.539,17868.852,18099.715,77550.836,4.733,0.908,7.268,5381.694,5391.990,151
radix8,scalar,16384,128,9,44455.250,209.852,44223.297,45190.180,191156.164,11.667,0.369,5.897,5486.481,5495.395,208
codec,scalar,16384,57,9,78001.825,30.351,77942.000,78214.632,335404.526,20.471,0.210,7.562,5540.770,5542.241,146
copy,avx2,16384,1024,9,105.227,0.079,105.041,107.111,452.592,0.028,155.702,311.404,5542.664,5542.664,155
xor,avx2,16384,683,9,147.366,1.568,143.384,150.280,633.794,0.039,111.179,333.537,5542.079,5542.079,39
mul,avx2,16384,1024,9,377.085,0.342,376.743,378.414,1621.528,0.099,43.449,86.898,5541.808,5541.808,67
radix4,avx2,16384,256,9,1518.383,2.227,1511.426,1542.676,6529.449,0.399,10.790,86.323,5543.287,5543.101,20
radix8,avx2,16384,128,9,3773.727,109.148,3572.633,3933.180,16228.469,0.991,4.342,69.466,5531.631,5519.206,44
codec,avx2,16384,57,9,9410.316,300.000,8761.175,9842.421,40465.263,2.470,1.741,62.678,5445.662,5435.106,6
copy,avx512bw,16384,1024,9,71.280,0.010,71.183,71.388,306.627,0.019,229.853,459.706,5403.876,5403.876,15
xor,avx512bw,16384,683,9,91.275,0.878,89.328,92.154,392.666,0.024,179.501,538.503,5387.974,5387.974,179
mul,avx512bw,16384,1024,9,137.336,1.221,130.733,138.967,590.662,0.036,119.299,238.597,5378.434,5378.434,215
radix4,avx512bw,16384,256,9,823.645,2.617,803.566,833.840,3542.293,0.216,19.892,159.137,5371.450,5371.450,128
radix8,avx512bw,16384,128,9,1734.555,21.023,1710.102,1799.320,7459.156,0.455,9.446,151.130,5326.560,5326.560,184
codec,avx512bw,16384,57,9,4258.298,11.053,4246.912,4338.649,18311.965,1.118,3.848,138.512,5287.841,5287.841,207
copy,avx512vbmi,16384,1024,9,73.146,0.059,73.019,74.317,314.647,0.019,223.992,447.984,5249.559,5249.559,198
xor,avx512vbmi,16384,683,9,86.751,0.044,86.605,88.625,373.212,0.023,188.862,566.586,5249.559,5249.559,122
mul,avx512vbmi,16384,1024,9,173.781,0.605,172.902,176.985,747.419,0.046,94.279,188.559,5238.538,5253.999,30
radix4,avx512vbmi,16384,256,9,1173.805,2.496,1169.277,1183.805,5047.965,0.308,13.958,111.664,5208.510,5208.510,73
radix8,avx512vbmi,16384,128,9,2680.820,6.250,2667.305,2692.461,11528.367,0.704,6.112,97.785,5209.680,5209.680,113
codec,avx512vbmi,16384,57,9,7005.719,23.351,6969.912,7115.544,30126.404,1.839,2.339,84.192,5201.749,5201.749,22
copy,scalar,65536,256,9,826.848,3.125,822.746,833.098,3556.066,0.054,79.260,158.520,5216.021,5216.021,31
xor,scalar,65536,171,9,1056.216,1.409,1046.450,1063.462,4542.661,0.069,62.048,186.144,5257.906,5257.906,168
mul,scalar,65536,256,9,12696.629,60.859,12598.773,12799.910,54595.051,0.833,5.162,10.323,5279.107,5289.671,55
radix4,scalar,65536,64,9,72636.984,232.969,72271.203,73434.016,312337.219,4.766,0.902,7.218,5360.510,5365.804,60
radix8,scalar,65536,32,9,179176.969,822.844,177559.750,181188.531,770455.188,11.756,0.366,5.852,5457.867,5468.874,46
codec,scalar,65536,15,9,312424.467,330.733,311905.200,313401.800,1343414.600,20.499,0.210,7.552,5540.986,5543.279,134
copy,avx2,65536,256,9,800.441,3.555,791.730,806.027,3442.855,0.053,81.875,163.750,5543.310,5543.310,130
xor,avx2,65536,171,9,1112.292,0.287,1103.643,1114.637,4783.813,0.073,58.920,176.759,5539.729,5542.621,53
mul,avx2,65536,256,9,1599.867,20.469,1526.973,1643.695,6880.000,0.105,40.963,81.927,5539.930,5532.173,170
radix4,avx2,65536,64,9,5338.672,56.094,5187.250,5693.359,22959.312,0.350,12.276,98.206,5477.468,5477.468,161
radix8,avx2,65536,32,9,12409.562,155.000,12052.375,12899.250,53365.688,0.814,5.281,84.497,5415.971,5415.971,215
codec,avx2,65536,15,9,31175.133,1018.667,29678.400,32750.467,134062.533,2.046,2.102,75.679,5335.036,5335.036,155
copy,avx512bw,65536,256,9,541.414,6.094,522.625,548.953,2328.551,0.036,121.046,242.092,5278.242,5278.242,159
xor,avx512bw,65536,171,9,803.345,1.228,782.760,810.304,3455.088,0.053,81.579,244.737,5265.642,5265.642,40
mul,avx512bw,65536,256,9,753.371,9.609,728.055,763.879,3239.949,0.049,86.990,173.981,5283.196,5283.196,183
radix4,avx512bw,65536,64,9,3116.453,10.156,3092.547,3152.859,13402.562,0.205,21.029,168.232,5277.030,5259.265,188
radix8,avx512bw,65536,32,9,6556.969,12.812,6510.719,6586.969,28198.594,0.430,9.995,159.918,5247.309,5247.309,202
codec,avx512bw,65536,15,9,17078.933,14.000,17062.200,17235.600,73446.867,1.121,3.837,138.141,5241.041,5232.923,45
copy,avx512vbmi,65536,256,9,535.555,5.859,525.281,551.375,2303.355,0.035,122.370,244.741,5231.337,5231.337,41
xor,avx512vbmi,65536,171,9,809.485,2.047,786.737,815.392,3481.491,0.053,80.960,242.880,5239.503,5239.503,158
mul,avx512vbmi,65536,256,9,931.887,3.090,914.621,947.281,4007.566,0.061,70.326,140.652,5246.810,5246.810,1
radix4,avx512vbmi,65536,64,9,4592.562,5.625,4584.906,4628.516,19750.438,0.301,14.270,114.160,5196.317,5196.317,10
radix8,avx512vbmi,65536,32,9,10764.531,18.750,10687.969,10817.344,46290.844,0.706,6.088,97.410,5195.107,5195.107,124
codec,avx512vbmi,65536,15,9,28707.733,56.667,28651.067,28847.800,123458.733,1.884,2.283,82.183,5189.759,5189.759,124
copy,scalar,262144,64,9,3267.703,6.719,3240.516,3292.703,14053.609,0.054,80.223,160.445,5198.862,5198.862,120
xor,scalar,262144,43,9,4411.698,1.884,4409.581,4495.884,18974.000,0.072,59.420,178.261,5234.131,5234.131,45
mul,scalar,262144,64,9,50985.109,277.031,50646.047,51383.406,219234.828,0.836,5.142,10.283,5260.586,5277.950,55
radix4,scalar,262144,16,9,291876.062,1186.312,289909.188,293459.188,1255059.812,4.788,0.898,7.185,5346.630,5355.105,183
radix8,scalar,262144,8,9,721238.000,2752.500,714615.250,723990.500,3101299.750,11.831,0.363,5.815,5449.365,5459.682,64
codec,scalar,262144,4,9,1252043.250,632.750,1251410.500,1261228.000,5383750.500,20.537,0.209,7.537,5540.989,5541.714,5
copy,avx2,262144,64,9,3079.422,11.266,3068.156,3119.109,13243.328,0.051,85.128,170.255,5542.543,5542.543,95
xor,avx2,262144,43,9,4367.512,16.512,4344.023,4393.093,18784.000,0.072,60.021,180.064,5543.308,5543.308,10
mul,avx2,262144,64,9,6340.562,163.125,6075.562,6523.219,27266.703,0.104,41.344,82.688,5545.166,5537.383,16
radix4,avx2,262144,16,9,21622.812,417.500,21201.562,23537.812,92987.500,0.355,12.123,96.988,5488.526,5488.526,144
radix8,avx2,262144,8,9,51954.500,1210.125,50610.625,54584.500,223422.625,0.852,5.046,80.730,5405.173,5405.173,150
codec,avx2,262144,4,9,128374.500,3165.000,124186.750,133824.250,552034.000,2.106,2.042,73.513,5334.668,5315.754,115
copy,avx512bw,262144,64,9,1847.844,25.312,1819.719,1986.750,7948.953,0.030,141.865,283.730,5282.797,5282.797,41
xor,avx512bw,262144,43,9,2767.023,9.791,2732.349,2817.488,11900.000,0.045,94.739,284.216,5270.017,5270.017,124
mul,avx512bw,262144,64,9,2816.750,2.047,2809.562,2847.078,12114.578,0.046,93.066,186.132,5244.954,5244.954,102
radix4,avx512bw,262144,16,9,12648.938,20.625,12550.188,12771.438,54397.688,0.208,20.725,165.797,5241.349,5227.847,230
radix8,avx512bw,262144,8,9,28539.125,82.375,28455.500,28795.375,122738.125,0.468,9.185,146.967,5219.896,5216.508,224
codec,avx512bw,262144,4,9,74498.750,182.500,74306.000,75033.500,320371.500,1.222,3.519,126.676,5201.893,5201.893,178
copy,avx512vbmi,262144,64,9,1637.844,4.234,1633.609,1726.891,7044.609,0.027,160.054,320.109,5200.844,5200.844,232
xor,avx512vbmi,262144,43,9,2787.698,6.023,2757.698,2845.605,11992.000,0.046,94.036,282.108,5202.631,5202.631,189
mul,avx512vbmi,262144,64,9,3442.875,11.391,3416.453,3492.875,14806.109,0.056,76.141,152.282,5196.142,5196.142,167
radix4,avx512vbmi,262144,16,9,18620.875,15.625,18590.250,18735.875,80079.438,0.305,14.078,112.624,5148.548,5148.548,39
radix8,avx512vbmi,262144,8,9,45704.500,211.250,45438.125,46039.375,196558.375,0.750,5.736,91.770,5137.579,5137.579,33
codec,avx512vbmi,262144,4,9,118506.750,200.000,118101.750,118761.500,509614.500,1.944,2.212,79.634,5140.178,5140.748,102
copy,scalar,1048576,16,9,15640.812,47.562,15561.438,15776.438,67265.438,0.064,67.041,134.082,5153.274,5153.274,60
xor,scalar,1048576,11,9,23006.727,43.636,22963.091,23286.636,98935.182,0.094,45.577,136.731,5194.145,5194.145,51
mul,scalar,1048576,16,9,206692.312,1170.625,205270.438,208246.750,888777.750,0.848,5.073,10.146,5219.367,5234.677,192
radix4,scalar,1048576,4,9,1175029.500,6357.750,1165849.250,1194509.750,5052586.000,4.819,0.892,7.139,5311.526,5324.745,8
radix8,scalar,1048576,2,9,2911392.000,15325.500,2888937.000,2935987.500,12518848.000,11.939,0.360,5.763,5425.997,5435.759,82
codec,scalar,1048576,1,9,5013392.000,6070.000,5004132.000,5036573.000,21557405.000,20.559,0.209,7.530,5535.056,5541.699,165
copy,avx2,1048576,16,9,15850.250,42.500,15737.125,15927.750,68163.062,0.065,66.155,132.310,5540.811,5540.811,93
xor,avx2,1048576,11,9,24492.182,267.273,23788.455,24759.455,105326.545,0.100,42.813,128.438,5542.507,5542.507,82
mul,avx2,1048576,16,9,26698.500,725.000,25550.312,27889.812,114810.000,0.109,39.275,78.549,5511.116,5511.116,161
radix4,avx2,1048576,4,9,87421.250,1562.500,84238.750,90264.000,375949.000,0.359,11.995,95.956,5457.007,5439.420,105
radix8,avx2,1048576,2,9,213558.000,895.000,212128.000,218243.500,918372.500,0.876,4.910,78.560,5387.101,5366.746,111
codec,avx2,1048576,1,9,505957.000,10420.000,490887.000,523588.000,2175757.000,2.075,2.072,74.609,5302.331,5302.331,77
copy,avx512bw,1048576,16,9,13923.938,50.625,13837.688,14031.438,59882.875,0.057,75.307,150.615,5253.302,5253.302,181
xor,avx512bw,1048576,11,9,22242.091,38.091,22201.273,22450.364,95651.545,0.091,47.144,141.431,5255.111,5259.089,186
mul,avx512bw,1048576,16,9,14119.562,31.188,14063.312,14286.438,60721.375,0.058,74.264,148.528,5266.984,5266.984,73
radix4,avx512bw,1048576,4,9,53665.750,155.000,53355.750,54270.750,230802.500,0.220,19.539,156.312,5243.708,5243.708,129
radix8,avx512bw,1048576,2,9,124071.500,325.500,121556.500,125096.500,533587.000,0.509,8.451,135.222,5217.990,5217.990,135
