operation,variant,bytes,iterations,samples,median_ns,mad_ns,min_ns,max_ns,median_cycles,cycles_per_byte,shard_gb_s,logical_traffic_gb_s,freq_before_mhz,freq_after_mhz,checksum
xor,avx512bw,16777216,1,9,310724.000,949.000,309775.000,313365.000,1336268.000,0.080,53.994,161.982,5281.472,5283.042,224
mul,avx512bw,16777216,1,9,211033.000,2350.000,208463.000,215113.000,907515.000,0.054,79.500,159.001,5285.107,5285.107,220
radix4,avx512bw,16777216,1,9,880122.000,2019.000,874663.000,961474.000,3784602.000,0.226,19.062,152.499,5230.642,5230.642,109
radix8,avx512bw,16777216,1,9,3189175.000,29160.000,3112095.000,3495151.000,13713388.000,0.817,5.261,84.171,5270.289,5270.853,120
codec,avx512bw,16777216,1,9,7967755.000,33050.000,7876484.000,8106947.000,34261024.000,2.042,2.106,75.803,5310.677,5311.998,5
copy,avx512vbmi,16777216,1,9,203953.000,190.000,203633.000,288455.000,877157.000,0.052,82.260,164.520,5316.094,5316.094,169
xor,avx512vbmi,16777216,1,9,309284.000,649.000,307725.000,311965.000,1330033.000,0.079,54.245,162.736,5316.164,5316.164,116
mul,avx512vbmi,16777216,1,9,276984.000,2690.000,272364.000,280524.000,1191143.000,0.071,60.571,121.142,5311.991,5302.612,72
radix4,avx512vbmi,16777216,1,9,1267159.000,7009.000,1256788.000,1323949.000,5448831.000,0.325,13.240,105.920,5237.486,5237.177,249
radix8,avx512vbmi,16777216,1,9,4037078.000,27731.000,3943557.000,4249791.000,17359272.000,1.035,4.156,66.493,5276.469,5277.400,236
codec,avx512vbmi,16777216,1,9,9675109.000,37031.000,9617228.000,9786260.000,41602543.000,2.480,1.734,62.426,5281.455,5280.895,224
