schema_version,operation,metric_unit,k,r,profile,method,wire_scope,confidence,transform_side,candidate_transform_side,parent_size,candidate_size,transmitted_size,padded_coordinates,shortened_coordinates,punctured_coordinates,parent_inflation,parent_field,candidate_field,padding_forces_gf16,gf8_boundary_rescue_candidate,butterfly_equivalents,xor_byte_ops,fixed_multiplications,load_byte_ops,store_byte_ops,temporary_shard_slots,irregular_boundary_ops,transform_passes,copied_shard_bytes,zero_filled_shard_bytes,symbolic_score,gain_vs_padded
leopard2-c0-v2,systematic_encode,per_payload_byte,3,5,legacy_high_v1,padded_dyadic_parent,parent_preserving,exact_structural_radix2_dag,8,8,16,16,8,8,5,3,2.0,gf8,gf8,false,false,24,48,24,64,69,16,0,6,16,5,229,1.0
leopard2-c0-v2,systematic_encode,per_payload_byte,3,5,legacy_high_v1,prefix_pruned_parent,parent_preserving,exact_structural_radix2_dag,8,8,16,16,8,8,5,3,2.0,gf8,gf8,false,false,20,40,20,56,56,16,1,6,16,0,196,1.168367347
leopard2-c0-v2,systematic_encode,per_payload_byte,3,5,legacy_high_v1,dependency_pruned_parent,parent_preserving,exact_structural_radix2_dag,8,8,16,16,8,8,5,3,2.0,gf8,gf8,false,false,20,40,20,56,56,16,2,6,16,0,200,1.145
leopard2-c0-v2,systematic_encode,per_payload_byte,3,5,legacy_high_v1,recursive_truncated_parent,parent_preserving,exact_arithmetic_lower_bound_scratch,8,8,16,16,8,8,5,3,2.0,gf8,gf8,false,false,20,40,20,56,56,8,6,6,16,0,216,1.060185185
leopard2-c0-v2,systematic_encode,per_payload_byte,3,5,legacy_high_v1,binary_dyadic_exact,new_exact_profile,heuristic_optimistic_cross_block,8,5,16,8,8,8,5,3,2.0,gf8,gf8,false,false,8,26,18,49,39,5,2,6,13,0,158,1.449367089
leopard2-c0-v2,systematic_encode,per_payload_byte,3,5,legacy_high_v1,full_block_tail_exact,new_exact_profile,heuristic_conservative_dense_join,8,5,16,8,8,8,5,3,2.0,gf8,gf8,false,false,8,24,18,47,39,5,4,8,13,0,162,1.413580247
leopard2-c0-v2,systematic_encode,per_payload_byte,3,5,legacy_high_v1,direct_matrix_exact,new_exact_profile,exact_dense_generator_arithmetic,8,5,16,8,8,8,5,3,2.0,gf8,gf8,false,false,0,10,15,15,5,1,0,1,0,0,60,3.816666667
leopard2-c0-v2,systematic_encode,per_payload_byte,3,5,legacy_high_v1,subproduct_tree_exact,new_exact_profile,asymptotic_generic_polynomial_proxy,8,5,16,8,8,8,5,3,2.0,gf8,gf8,false,false,216,216,216,432,216,32,3,9,0,0,1308,0.175076453
leopard2-c0-v2,systematic_encode,per_payload_byte,3,5,low_v1,padded_dyadic_parent,parent_preserving,exact_structural_radix2_dag,4,4,16,16,8,8,1,7,2.0,gf8,gf8,false,false,12,24,12,40,41,8,0,6,16,1,129,1.0
leopard2-c0-v2,systematic_encode,per_payload_byte,3,5,low_v1,prefix_pruned_parent,parent_preserving,exact_structural_radix2_dag,4,4,16,16,8,8,1,7,2.0,gf8,gf8,false,false,12,24,12,40,40,8,1,6,16,0,132,0.977272727
leopard2-c0-v2,systematic_encode,per_payload_byte,3,5,low_v1,dependency_pruned_parent,parent_preserving,exact_structural_radix2_dag,4,4,16,16,8,8,1,7,2.0,gf8,gf8,false,false,11,22,11,38,38,8,2,6,16,0,128,1.0078125
leopard2-c0-v2,systematic_encode,per_payload_byte,3,5,low_v1,recursive_truncated_parent,parent_preserving,exact_arithmetic_lower_bound_scratch,4,4,16,16,8,8,1,7,2.0,gf8,gf8,false,false,11,22,11,38,38,4,4,6,16,0,136,0.948529412
leopard2-c0-v2,systematic_encode,per_payload_byte,3,5,low_v1,binary_dyadic_exact,new_exact_profile,heuristic_optimistic_cross_block,4,3,16,8,8,8,1,7,2.0,gf8,gf8,false,false,3,15,12,38,29,3,3,6,14,0,118,1.093220339
leopard2-c0-v2,systematic_encode,per_payload_byte,3,5,low_v1,full_block_tail_exact,new_exact_profile,heuristic_conservative_dense_join,4,3,16,8,8,8,1,7,2.0,gf8,gf8,false,false,3,12,12,35,29,3,6,9,14,0,124,1.040322581
leopard2-c0-v2,systematic_encode,per_payload_byte,3,5,low_v1,direct_matrix_exact,new_exact_profile,exact_dense_generator_arithmetic,4,3,16,8,8,8,1,7,2.0,gf8,gf8,false,false,0,10,15,15,5,1,0,1,0,0,60,2.15
leopard2-c0-v2,systematic_encode,per_payload_byte,3,5,low_v1,subproduct_tree_exact,new_exact_profile,asymptotic_generic_polynomial_proxy,4,3,16,8,8,8,1,7,2.0,gf8,gf8,false,false,216,216,216,432,216,32,3,9,0,0,1308,0.098623853
leopard2-c0-v2,systematic_encode,per_payload_byte,3,7,legacy_high_v1,padded_dyadic_parent,parent_preserving,exact_structural_radix2_dag,8,8,16,16,10,6,5,1,1.6,gf8,gf8,false,false,24,48,24,66,71,16,0,6,18,5,233,1.0
leopard2-c0-v2,systematic_encode,per_payload_byte,3,7,legacy_high_v1,prefix_pruned_parent,parent_preserving,exact_structural_radix2_dag,8,8,16,16,10,6,5,1,1.6,gf8,gf8,false,false,20,40,20,58,58,16,1,6,18,0,200,1.165
leopard2-c0-v2,systematic_encode,per_payload_byte,3,7,legacy_high_v1,dependency_pruned_parent,parent_preserving,exact_structural_radix2_dag,8,8,16,16,10,6,5,1,1.6,gf8,gf8,false,false,20,40,20,58,58,16,2,6,18,0,204,1.142156863
leopard2-c0-v2,systematic_encode,per_payload_byte,3,7,legacy_high_v1,recursive_truncated_parent,parent_preserving,exact_arithmetic_lower_bound_scratch,8,8,16,16,10,6,5,1,1.6,gf8,gf8,false,false,20,40,20,58,58,8,6,6,18,0,220,1.059090909
leopard2-c0-v2,systematic_encode,per_payload_byte,3,7,legacy_high_v1,binary_dyadic_exact,new_exact_profile,heuristic_optimistic_cross_block,8,7,16,10,10,6,5,1,1.6,gf8,gf8,false,false,10,48,38,93,65,7,4,10,17,0,298,0.781879195
leopard2-c0-v2,systematic_encode,per_payload_byte,3,7,legacy_high_v1,full_block_tail_exact,new_exact_profile,heuristic_conservative_dense_join,8,7,16,10,10,6,5,1,1.6,gf8,gf8,false,false,8,52,50,111,63,7,4,8,17,0,342,0.68128655
leopard2-c0-v2,systematic_encode,per_payload_byte,3,7,legacy_high_v1,direct_matrix_exact,new_exact_profile,exact_dense_generator_arithmetic,8,7,16,10,10,6,5,1,1.6,gf8,gf8,false,false,0,14,21,21,7,1,0,1,0,0,84,2.773809524
leopard2-c0-v2,systematic_encode,per_payload_byte,3,7,legacy_high_v1,subproduct_tree_exact,new_exact_profile,asymptotic_generic_polynomial_proxy,8,7,16,10,10,6,5,1,1.6,gf8,gf8,false,false,480,480,480,960,480,40,4,12,0,0,2896,0.080455801
leopard2-c0-v2,systematic_encode,per_payload_byte,3,7,low_v1,padded_dyadic_parent,parent_preserving,exact_structural_radix2_dag,4,4,16,16,10,6,1,5,1.6,gf8,gf8,false,false,12,24,12,42,43,8,0,6,18,1,133,1.0
leopard2-c0-v2,systematic_encode,per_payload_byte,3,7,low_v1,prefix_pruned_parent,parent_preserving,exact_structural_radix2_dag,4,4,16,16,10,6,1,5,1.6,gf8,gf8,false,false,12,24,12,42,42,8,1,6,18,0,136,0.977941176
leopard2-c0-v2,systematic_encode,per_payload_byte,3,7,low_v1,dependency_pruned_parent,parent_preserving,exact_structural_radix2_dag,4,4,16,16,10,6,1,5,1.6,gf8,gf8,false,false,12,24,12,42,42,8,2,6,18,0,140,0.95
leopard2-c0-v2,systematic_encode,per_payload_byte,3,7,low_v1,recursive_truncated_parent,parent_preserving,exact_arithmetic_lower_bound_scratch,4,4,16,16,10,6,1,5,1.6,gf8,gf8,false,false,12,24,12,42,42,4,4,6,18,0,148,0.898648649
leopard2-c0-v2,systematic_encode,per_payload_byte,3,7,low_v1,binary_dyadic_exact,new_exact_profile,heuristic_optimistic_cross_block,4,3,16,10,10,6,1,5,1.6,gf8,gf8,false,false,4,20,16,51,39,3,4,8,19,0,158,0.841772152
leopard2-c0-v2,systematic_encode,per_payload_byte,3,7,low_v1,full_block_tail_exact,new_exact_profile,heuristic_conservative_dense_join,4,3,16,10,10,6,1,5,1.6,gf8,gf8,false,false,4,16,16,47,39,3,8,12,19,0,166,0.801204819
leopard2-c0-v2,systematic_encode,per_payload_byte,3,7,low_v1,direct_matrix_exact,new_exact_profile,exact_dense_generator_arithmetic,4,3,16,10,10,6,1,5,1.6,gf8,gf8,false,false,0,14,21,21,7,1,0,1,0,0,84,1.583333333
leopard2-c0-v2,systematic_encode,per_payload_byte,3,7,low_v1,subproduct_tree_exact,new_exact_profile,asymptotic_generic_polynomial_proxy,4,3,16,10,10,6,1,5,1.6,gf8,gf8,false,false,480,480,480,960,480,40,4,12,0,0,2896,0.045925414
leopard2-c0-v2,systematic_encode,per_payload_byte,3,9,legacy_high_v1,padded_dyadic_parent,parent_preserving,exact_structural_radix2_dag,16,16,32,32,12,20,13,7,2.666666667,gf8,gf8,false,false,64,128,64,156,169,32,0,8,28,13,581,1.0
leopard2-c0-v2,systematic_encode,per_payload_byte,3,9,legacy_high_v1,prefix_pruned_parent,parent_preserving,exact_structural_radix2_dag,16,16,32,32,12,20,13,7,2.666666667,gf8,gf8,false,false,48,96,48,124,124,32,1,8,28,0,444,1.308558559
leopard2-c0-v2,systematic_encode,per_payload_byte,3,9,legacy_high_v1,dependency_pruned_parent,parent_preserving,exact_structural_radix2_dag,16,16,32,32,12,20,13,7,2.666666667,gf8,gf8,false,false,48,96,48,124,124,32,2,8,28,0,448,1.296875
leopard2-c0-v2,systematic_encode,per_payload_byte,3,9,legacy_high_v1,recursive_truncated_parent,parent_preserving,exact_arithmetic_lower_bound_scratch,16,16,32,32,12,20,13,7,2.666666667,gf8,gf8,false,false,48,96,48,124,124,16,8,8,28,0,472,1.230932203
leopard2-c0-v2,systematic_encode,per_payload_byte,3,9,legacy_high_v1,binary_dyadic_exact,new_exact_profile,heuristic_optimistic_cross_block,16,9,32,12,12,20,13,7,2.666666667,gf8,gf8,false,false,24,66,42,105,87,9,2,8,21,0,350,1.66
leopard2-c0-v2,systematic_encode,per_payload_byte,3,9,legacy_high_v1,full_block_tail_exact,new_exact_profile,heuristic_conservative_dense_join,16,9,32,12,12,20,13,7,2.666666667,gf8,gf8,false,false,24,64,42,103,87,9,4,10,21,0,354,1.641242938
leopard2-c0-v2,systematic_encode,per_payload_byte,3,9,legacy_high_v1,direct_matrix_exact,new_exact_profile,exact_dense_generator_arithmetic,16,9,32,12,12,20,13,7,2.666666667,gf8,gf8,false,false,0,18,27,27,9,1,0,1,0,0,108,5.37962963
leopard2-c0-v2,systematic_encode,per_payload_byte,3,9,legacy_high_v1,subproduct_tree_exact,new_exact_profile,asymptotic_generic_polynomial_proxy,16,9,32,12,12,20,13,7,2.666666667,gf8,gf8,false,false,576,576,576,1152,576,48,4,12,0,0,3472,0.16733871
leopard2-c0-v2,systematic_encode,per_payload_byte,3,9,low_v1,padded_dyadic_parent,parent_preserving,exact_structural_radix2_dag,4,4,16,16,12,4,1,3,1.333333333,gf8,gf8,false,false,16,32,16,56,57,8,0,8,24,1,177,1.0
leopard2-c0-v2,systematic_encode,per_payload_byte,3,9,low_v1,prefix_pruned_parent,parent_preserving,exact_structural_radix2_dag,4,4,16,16,12,4,1,3,1.333333333,gf8,gf8,false,false,16,32,16,56,56,8,1,8,24,0,180,0.983333333
leopard2-c0-v2,systematic_encode,per_payload_byte,3,9,low_v1,dependency_pruned_parent,parent_preserving,exact_structural_radix2_dag,4,4,16,16,12,4,1,3,1.333333333,gf8,gf8,false,false,15,30,15,54,54,8,2,8,24,0,176,1.005681818
leopard2-c0-v2,systematic_encode,per_payload_byte,3,9,low_v1,recursive_truncated_parent,parent_preserving,exact_arithmetic_lower_bound_scratch,4,4,16,16,12,4,1,3,1.333333333,gf8,gf8,false,false,15,30,15,54,54,4,4,8,24,0,184,0.961956522
leopard2-c0-v2,systematic_encode,per_payload_byte,3,9,low_v1,binary_dyadic_exact,new_exact_profile,heuristic_optimistic_cross_block,4,3,16,12,12,4,1,3,1.333333333,gf8,gf8,false,false,4,20,16,53,41,3,4,8,21,0,162,1.092592593
leopard2-c0-v2,systematic_encode,per_payload_byte,3,9,low_v1,full_block_tail_exact,new_exact_profile,heuristic_conservative_dense_join,4,3,16,12,12,4,1,3,1.333333333,gf8,gf8,false,false,4,16,16,49,41,3,8,12,21,0,170,1.041176471
leopard2-c0-v2,systematic_encode,per_payload_byte,3,9,low_v1,direct_matrix_exact,new_exact_profile,exact_dense_generator_arithmetic,4,3,16,12,12,4,1,3,1.333333333,gf8,gf8,false,false,0,18,27,27,9,1,0,1,0,0,108,1.638888889
leopard2-c0-v2,systematic_encode,per_payload_byte,3,9,low_v1,subproduct_tree_exact,new_exact_profile,asymptotic_generic_polynomial_proxy,4,3,16,12,12,4,1,3,1.333333333,gf8,gf8,false,false,576,576,576,1152,576,48,4,12,0,0,3472,0.050979263
leopard2-c0-v2,systematic_encode,per_payload_byte,3,15,legacy_high_v1,padded_dyadic_parent,parent_preserving,exact_structural_radix2_dag,16,16,32,32,18,14,13,1,1.777777778,gf8,gf8,false,false,64,128,64,162,175,32,0,8,34,13,593,1.0
leopard2-c0-v2,systematic_encode,per_payload_byte,3,15,legacy_high_v1,prefix_pruned_parent,parent_preserving,exact_structural_radix2_dag,16,16,32,32,18,14,13,1,1.777777778,gf8,gf8,false,false,48,96,48,130,130,32,1,8,34,0,456,1.300438596
leopard2-c0-v2,systematic_encode,per_payload_byte,3,15,legacy_high_v1,dependency_pruned_parent,parent_preserving,exact_structural_radix2_dag,16,16,32,32,18,14,13,1,1.777777778,gf8,gf8,false,false,48,96,48,130,130,32,2,8,34,0,460,1.289130435
leopard2-c0-v2,systematic_encode,per_payload_byte,3,15,legacy_high_v1,recursive_truncated_parent,parent_preserving,exact_arithmetic_lower_bound_scratch,16,16,32,32,18,14,13,1,1.777777778,gf8,gf8,false,false,48,96,48,130,130,16,8,8,34,0,484,1.225206612
leopard2-c0-v2,systematic_encode,per_payload_byte,3,15,legacy_high_v1,binary_dyadic_exact,new_exact_profile,heuristic_optimistic_cross_block,16,15,32,18,18,14,13,1,1.777777778,gf8,gf8,false,false,34,158,124,281,191,15,6,18,33,0,902,0.657427938
leopard2-c0-v2,systematic_encode,per_payload_byte,3,15,legacy_high_v1,full_block_tail_exact,new_exact_profile,heuristic_conservative_dense_join,16,15,32,18,18,14,13,1,1.777777778,gf8,gf8,false,false,24,244,234,487,207,15,4,10,33,0,1422,0.417018284
leopard2-c0-v2,systematic_encode,per_payload_byte,3,15,legacy_high_v1,direct_matrix_exact,new_exact_profile,exact_dense_generator_arithmetic,16,15,32,18,18,14,13,1,1.777777778,gf8,gf8,false,false,0,30,45,45,15,1,0,1,0,0,180,3.294444444
leopard2-c0-v2,systematic_encode,per_payload_byte,3,15,legacy_high_v1,subproduct_tree_exact,new_exact_profile,asymptotic_generic_polynomial_proxy,16,15,32,18,18,14,13,1,1.777777778,gf8,gf8,false,false,1350,1350,1350,2700,1350,72,5,15,0,0,8120,0.073029557
leopard2-c0-v2,systematic_encode,per_payload_byte,3,15,low_v1,padded_dyadic_parent,parent_preserving,exact_structural_radix2_dag,4,4,32,32,18,14,1,13,1.777777778,gf8,gf8,false,false,20,40,20,74,75,8,0,10,34,1,229,1.0
leopard2-c0-v2,systematic_encode,per_payload_byte,3,15,low_v1,prefix_pruned_parent,parent_preserving,exact_structural_radix2_dag,4,4,32,32,18,14,1,13,1.777777778,gf8,gf8,false,false,20,40,20,74,74,8,1,10,34,0,232,0.987068966
leopard2-c0-v2,systematic_encode,per_payload_byte,3,15,low_v1,dependency_pruned_parent,parent_preserving,exact_structural_radix2_dag,4,4,32,32,18,14,1,13,1.777777778,gf8,gf8,false,false,20,40,20,74,74,8,2,10,34,0,236,0.970338983
leopard2-c0-v2,systematic_encode,per_payload_byte,3,15,low_v1,recursive_truncated_parent,parent_preserving,exact_arithmetic_lower_bound_scratch,4,4,32,32,18,14,1,13,1.777777778,gf8,gf8,false,false,20,40,20,74,74,4,4,10,34,0,244,0.93852459
leopard2-c0-v2,systematic_encode,per_payload_byte,3,15,low_v1,binary_dyadic_exact,new_exact_profile,heuristic_optimistic_cross_block,4,3,32,18,18,14,1,13,1.777777778,gf8,gf8,false,false,6,30,24,81,63,3,6,12,33,0,246,0.930894309
leopard2-c0-v2,systematic_encode,per_payload_byte,3,15,low_v1,full_block_tail_exact,new_exact_profile,heuristic_conservative_dense_join,4,3,32,18,18,14,1,13,1.777777778,gf8,gf8,false,false,6,24,24,75,63,3,12,18,33,0,258,0.887596899
leopard2-c0-v2,systematic_encode,per_payload_byte,3,15,low_v1,direct_matrix_exact,new_exact_profile,exact_dense_generator_arithmetic,4,3,32,18,18,14,1,13,1.777777778,gf8,gf8,false,false,0,30,45,45,15,1,0,1,0,0,180,1.272222222
leopard2-c0-v2,systematic_encode,per_payload_byte,3,15,low_v1,subproduct_tree_exact,new_exact_profile,asymptotic_generic_polynomial_proxy,4,3,32,18,18,14,1,13,1.777777778,gf8,gf8,false,false,1350,1350,1350,2700,1350,72,5,15,0,0,8120,0.02820197
leopard2-c0-v2,systematic_encode,per_payload_byte,3,17,legacy_high_v1,padded_dyadic_parent,parent_preserving,exact_structural_radix2_dag,32,32,64,64,20,44,29,15,3.2,gf8,gf8,false,false,160,320,160,372,401,64,0,10,52,29,1413,1.0
leopard2-c0-v2,systematic_encode,per_payload_byte,3,17,legacy_high_v1,prefix_pruned_parent,parent_preserving,exact_structural_radix2_dag,32,32,64,64,20,44,29,15,3.2,gf8,gf8,false,false,112,224,112,276,276,64,1,10,52,0,1004,1.407370518
leopard2-c0-v2,systematic_encode,per_payload_byte,3,17,legacy_high_v1,dependency_pruned_parent,parent_preserving,exact_structural_radix2_dag,32,32,64,64,20,44,29,15,3.2,gf8,gf8,false,false,112,224,112,276,276,64,2,10,52,0,1008,1.401785714
leopard2-c0-v2,systematic_encode,per_payload_byte,3,17,legacy_high_v1,recursive_truncated_parent,parent_preserving,exact_arithmetic_lower_bound_scratch,32,32,64,64,20,44,29,15,3.2,gf8,gf8,false,false,112,224,112,276,276,32,10,10,52,0,1040,1.358653846
leopard2-c0-v2,systematic_encode,per_payload_byte,3,17,legacy_high_v1,binary_dyadic_exact,new_exact_profile,heuristic_optimistic_cross_block,32,17,64,20,20,44,29,15,3.2,gf8,gf8,false,false,64,162,98,233,199,17,2,10,37,0,798,1.770676692
leopard2-c0-v2,systematic_encode,per_payload_byte,3,17,legacy_high_v1,full_block_tail_exact,new_exact_profile,heuristic_conservative_dense_join,32,17,64,20,20,44,29,15,3.2,gf8,gf8,false,false,64,160,98,231,199,17,4,12,37,0,802,1.761845387
leopard2-c0-v2,systematic_encode,per_payload_byte,3,17,legacy_high_v1,direct_matrix_exact,new_exact_profile,exact_dense_generator_arithmetic,32,17,64,20,20,44,29,15,3.2,gf8,gf8,false,false,0,34,51,51,17,1,0,1,0,0,204,6.926470588
leopard2-c0-v2,systematic_encode,per_payload_byte,3,17,legacy_high_v1,subproduct_tree_exact,new_exact_profile,asymptotic_generic_polynomial_proxy,32,17,64,20,20,44,29,15,3.2,gf8,gf8,false,false,1500,1500,1500,3000,1500,80,5,15,0,0,9020,0.156651885
leopard2-c0-v2,systematic_encode,per_payload_byte,3,17,low_v1,padded_dyadic_parent,parent_preserving,exact_structural_radix2_dag,4,4,32,32,20,12,1,11,1.6,gf8,gf8,false,false,24,48,24,88,89,8,0,12,40,1,273,1.0
leopard2-c0-v2,systematic_encode,per_payload_byte,3,17,low_v1,prefix_pruned_parent,parent_preserving,exact_structural_radix2_dag,4,4,32,32,20,12,1,11,1.6,gf8,gf8,false,false,24,48,24,88,88,8,1,12,40,0,276,0.989130435
leopard2-c0-v2,systematic_encode,per_payload_byte,3,17,low_v1,dependency_pruned_parent,parent_preserving,exact_structural_radix2_dag,4,4,32,32,20,12,1,11,1.6,gf8,gf8,false,false,23,46,23,86,86,8,2,12,40,0,272,1.003676471
leopard2-c0-v2,systematic_encode,per_payload_byte,3,17,low_v1,recursive_truncated_parent,parent_preserving,exact_arithmetic_lower_bound_scratch,4,4,32,32,20,12,1,11,1.6,gf8,gf8,false,false,23,46,23,86,86,4,4,12,40,0,280,0.975
leopard2-c0-v2,systematic_encode,per_payload_byte,3,17,low_v1,binary_dyadic_exact,new_exact_profile,heuristic_optimistic_cross_block,4,3,32,20,20,12,1,11,1.6,gf8,gf8,false,false,7,35,28,94,73,3,7,14,38,0,286,0.954545455
leopard2-c0-v2,systematic_encode,per_payload_byte,3,17,low_v1,full_block_tail_exact,new_exact_profile,heuristic_conservative_dense_join,4,3,32,20,20,12,1,11,1.6,gf8,gf8,false,false,7,28,28,87,73,3,14,21,38,0,300,0.91
leopard2-c0-v2,systematic_encode,per_payload_byte,3,17,low_v1,direct_matrix_exact,new_exact_profile,exact_dense_generator_arithmetic,4,3,32,20,20,12,1,11,1.6,gf8,gf8,false,false,0,34,51,51,17,1,0,1,0,0,204,1.338235294
leopard2-c0-v2,systematic_encode,per_payload_byte,3,17,low_v1,subproduct_tree_exact,new_exact_profile,asymptotic_generic_polynomial_proxy,4,3,32,20,20,12,1,11,1.6,gf8,gf8,false,false,1500,1500,1500,3000,1500,80,5,15,0,0,9020,0.030266075
leopard2-c0-v2,systematic_encode,per_payload_byte,3,31,legacy_high_v1,padded_dyadic_parent,parent_preserving,exact_structural_radix2_dag,32,32,64,64,34,30,29,1,1.882352941,gf8,gf8,false,false,160,320,160,386,415,64,0,10,66,29,1441,1.0
leopard2-c0-v2,systematic_encode,per_payload_byte,3,31,legacy_high_v1,prefix_pruned_parent,parent_preserving,exact_structural_radix2_dag,32,32,64,64,34,30,29,1,1.882352941,gf8,gf8,false,false,112,224,112,290,290,64,1,10,66,0,1032,1.396317829
leopard2-c0-v2,systematic_encode,per_payload_byte,3,31,legacy_high_v1,dependency_pruned_parent,parent_preserving,exact_structural_radix2_dag,32,32,64,64,34,30,29,1,1.882352941,gf8,gf8,false,false,112,224,112,290,290,64,2,10,66,0,1036,1.390926641
leopard2-c0-v2,systematic_encode,per_payload_byte,3,31,legacy_high_v1,recursive_truncated_parent,parent_preserving,exact_arithmetic_lower_bound_scratch,32,32,64,64,34,30,29,1,1.882352941,gf8,gf8,false,false,112,224,112,290,290,32,10,10,66,0,1068,1.349250936
leopard2-c0-v2,systematic_encode,per_payload_byte,3,31,legacy_high_v1,binary_dyadic_exact,new_exact_profile,heuristic_optimistic_cross_block,32,31,64,34,34,30,29,1,1.882352941,gf8,gf8,false,false,98,444,346,757,509,31,8,28,65,0,2434,0.592029581
leopard2-c0-v2,systematic_encode,per_payload_byte,3,31,legacy_high_v1,full_block_tail_exact,new_exact_profile,heuristic_conservative_dense_join,32,31,64,34,34,30,29,1,1.882352941,gf8,gf8,false,false,64,1028,994,2023,703,31,4,12,65,0,5758,0.250260507
