schema_version,operation,metric_unit,k,r,profile,method,wire_scope,confidence,transform_side,candidate_transform_side,parent_size,candidate_size,transmitted_size,padded_coordinates,shortened_coordinates,punctured_coordinates,parent_inflation,parent_field,candidate_field,padding_forces_gf16,gf8_boundary_rescue_candidate,butterfly_equivalents,xor_byte_ops,fixed_multiplications,load_byte_ops,store_byte_ops,temporary_shard_slots,irregular_boundary_ops,transform_passes,copied_shard_bytes,zero_filled_shard_bytes,symbolic_score,gain_vs_padded
leopard2-c0-v2,systematic_encode,per_payload_byte,3,3,legacy_high_v1,padded_dyadic_parent,parent_preserving,exact_structural_radix2_dag,4,4,8,8,6,2,1,1,1.333333333,gf8,gf8,false,false,8,16,8,26,27,8,0,4,10,1,85,1.0
leopard2-c0-v2,systematic_encode,per_payload_byte,3,3,legacy_high_v1,prefix_pruned_parent,parent_preserving,exact_structural_radix2_dag,4,4,8,8,6,2,1,1,1.333333333,gf8,gf8,false,false,8,16,8,26,26,8,1,4,10,0,88,0.965909091
leopard2-c0-v2,systematic_encode,per_payload_byte,3,3,legacy_high_v1,dependency_pruned_parent,parent_preserving,exact_structural_radix2_dag,4,4,8,8,6,2,1,1,1.333333333,gf8,gf8,false,false,8,16,8,26,26,8,2,4,10,0,92,0.923913043
leopard2-c0-v2,systematic_encode,per_payload_byte,3,3,legacy_high_v1,recursive_truncated_parent,parent_preserving,exact_arithmetic_lower_bound_scratch,4,4,8,8,6,2,1,1,1.333333333,gf8,gf8,false,false,8,16,8,26,26,4,4,4,10,0,100,0.85
leopard2-c0-v2,systematic_encode,per_payload_byte,3,3,legacy_high_v1,binary_dyadic_exact,new_exact_profile,heuristic_optimistic_cross_block,4,3,8,6,6,2,1,1,1.333333333,gf8,gf8,false,false,2,10,8,25,19,3,2,4,9,0,78,1.08974359
leopard2-c0-v2,systematic_encode,per_payload_byte,3,3,legacy_high_v1,full_block_tail_exact,new_exact_profile,heuristic_conservative_dense_join,4,3,8,6,6,2,1,1,1.333333333,gf8,gf8,false,false,2,8,8,23,19,3,4,6,9,0,82,1.036585366
leopard2-c0-v2,systematic_encode,per_payload_byte,3,3,legacy_high_v1,direct_matrix_exact,new_exact_profile,exact_dense_generator_arithmetic,4,3,8,6,6,2,1,1,1.333333333,gf8,gf8,false,false,0,6,9,9,3,1,0,1,0,0,36,2.361111111
leopard2-c0-v2,systematic_encode,per_payload_byte,3,3,legacy_high_v1,subproduct_tree_exact,new_exact_profile,asymptotic_generic_polynomial_proxy,4,3,8,6,6,2,1,1,1.333333333,gf8,gf8,false,false,162,162,162,324,162,24,3,9,0,0,984,0.086382114
leopard2-c0-v2,systematic_encode,per_payload_byte,3,3,low_v1,padded_dyadic_parent,parent_preserving,exact_structural_radix2_dag,4,4,8,8,6,2,1,1,1.333333333,gf8,gf8,false,false,8,16,8,26,27,8,0,4,10,1,85,1.0
leopard2-c0-v2,systematic_encode,per_payload_byte,3,3,low_v1,prefix_pruned_parent,parent_preserving,exact_structural_radix2_dag,4,4,8,8,6,2,1,1,1.333333333,gf8,gf8,false,false,8,16,8,26,26,8,1,4,10,0,88,0.965909091
leopard2-c0-v2,systematic_encode,per_payload_byte,3,3,low_v1,dependency_pruned_parent,parent_preserving,exact_structural_radix2_dag,4,4,8,8,6,2,1,1,1.333333333,gf8,gf8,false,false,8,16,8,26,26,8,2,4,10,0,92,0.923913043
leopard2-c0-v2,systematic_encode,per_payload_byte,3,3,low_v1,recursive_truncated_parent,parent_preserving,exact_arithmetic_lower_bound_scratch,4,4,8,8,6,2,1,1,1.333333333,gf8,gf8,false,false,8,16,8,26,26,4,4,4,10,0,100,0.85
leopard2-c0-v2,systematic_encode,per_payload_byte,3,3,low_v1,binary_dyadic_exact,new_exact_profile,heuristic_optimistic_cross_block,4,3,8,6,6,2,1,1,1.333333333,gf8,gf8,false,false,2,10,8,25,19,3,2,4,9,0,78,1.08974359
leopard2-c0-v2,systematic_encode,per_payload_byte,3,3,low_v1,full_block_tail_exact,new_exact_profile,heuristic_conservative_dense_join,4,3,8,6,6,2,1,1,1.333333333,gf8,gf8,false,false,2,8,8,23,19,3,4,6,9,0,82,1.036585366
leopard2-c0-v2,systematic_encode,per_payload_byte,3,3,low_v1,direct_matrix_exact,new_exact_profile,exact_dense_generator_arithmetic,4,3,8,6,6,2,1,1,1.333333333,gf8,gf8,false,false,0,6,9,9,3,1,0,1,0,0,36,2.361111111
leopard2-c0-v2,systematic_encode,per_payload_byte,3,3,low_v1,subproduct_tree_exact,new_exact_profile,asymptotic_generic_polynomial_proxy,4,3,8,6,6,2,1,1,1.333333333,gf8,gf8,false,false,162,162,162,324,162,24,3,9,0,0,984,0.086382114
